date,market,commodity,unit,pricetype,currency,price
2008-10-15,Nairobi,Maize,KG,Wholesale,KES,25.11
2008-10-15,Nairobi,Beans,KG,Wholesale,KES,53.35
2008-10-15,Kisumu,Maize,KG,Wholesale,KES,24.2
2008-11-15,Nairobi,Maize,KG,Wholesale,KES,27.46
2008-11-15,Nairobi,Beans,KG,Wholesale,KES,52.45
2008-11-15,Kisumu,Maize,KG,Wholesale,KES,26.39
2008-12-15,Kisumu,Maize,KG,Wholesale,KES,29.44
2009-01-15,Nairobi,Maize,KG,Wholesale,KES,23.37
2009-01-15,Kisumu,Maize,KG,Wholesale,KES,29.43
2009-01-15,Kisumu,Beans,KG,Wholesale,KES,67.51
2009-02-15,Kisumu,Maize,KG,Wholesale,KES,30.39
2009-03-15,Nairobi,Maize,KG,Wholesale,KES,29.67
2009-03-15,Nairobi,Beans,KG,Wholesale,KES,52.78
2009-03-15,Kisumu,Maize,KG,Wholesale,KES,30.56
2009-03-15,Kisumu,Beans,KG,Wholesale,KES,67.84
2009-04-15,Nairobi,Maize,KG,Wholesale,KES,30.04
2009-04-15,Kisumu,Maize,KG,Wholesale,KES,28.94
2009-04-15,Kisumu,Beans,KG,Wholesale,KES,63.29
2009-05-15,Nairobi,Maize,KG,Wholesale,KES,33.27
2009-05-15,Kisumu,Maize,KG,Wholesale,KES,28.41
2009-05-15,Kisumu,Beans,KG,Wholesale,KES,55.45
2009-06-15,Nairobi,Maize,KG,Wholesale,KES,29.36
2009-06-15,Nairobi,Beans,KG,Wholesale,KES,50.9
2009-06-15,Kisumu,Maize,KG,Wholesale,KES,26.04
2009-06-15,Kisumu,Beans,KG,Wholesale,KES,43.15
2009-07-15,Kisumu,Maize,KG,Wholesale,KES,26.51
2009-07-15,Kisumu,Beans,KG,Wholesale,KES,51.35
2009-08-15,Nairobi,Maize,KG,Wholesale,KES,27.23
2009-08-15,Nairobi,Beans,KG,Wholesale,KES,46.16
2009-08-15,Kisumu,Maize,KG,Wholesale,KES,31.88
2009-08-15,Kisumu,Beans,KG,Wholesale,KES,44.09
2009-09-15,Nairobi,Maize,KG,Wholesale,KES,28.39
2009-09-15,Nairobi,Beans,KG,Wholesale,KES,49.51
2009-09-15,Kisumu,Maize,KG,Wholesale,KES,26.37
2009-09-15,Kisumu,Beans,KG,Wholesale,KES,61.57
2009-10-15,Nairobi,Maize,KG,Wholesale,KES,25.82
2009-10-15,Nairobi,Beans,KG,Wholesale,KES,50.88
2009-10-15,Kisumu,Maize,KG,Wholesale,KES,26.1
2009-10-15,Kisumu,Beans,KG,Wholesale,KES,59.87
2009-11-15,Nairobi,Maize,KG,Wholesale,KES,26.93
2009-11-15,Kisumu,Maize,KG,Wholesale,KES,26.19
2009-12-15,Nairobi,Maize,KG,Wholesale,KES,29.28
2009-12-15,Nairobi,Beans,KG,Wholesale,KES,51.93
2009-12-15,Kisumu,Maize,KG,Wholesale,KES,26.23
2010-01-15,Nairobi,Maize,KG,Wholesale,KES,27.28
2010-01-15,Nairobi,Beans,KG,Wholesale,KES,49.84
2010-01-15,Kisumu,Maize,KG,Wholesale,KES,26.41
2010-01-15,Kisumu,Beans,KG,Wholesale,KES,50.55
2010-02-15,Kisumu,Maize,KG,Wholesale,KES,25.71
2010-02-15,Kisumu,Beans,KG,Wholesale,KES,48.74
2010-03-15,Nairobi,Beans,KG,Wholesale,KES,51.29
2010-03-15,Kisumu,Maize,KG,Wholesale,KES,24.77
2010-03-15,Kisumu,Beans,KG,Wholesale,KES,49.21
