date,market,commodity,unit,pricetype,currency,price
2019-03-15,Nairobi,Maize,KG,Wholesale,KES,26.13
2019-04-15,Nairobi,Maize,KG,Wholesale,KES,31.3
2019-05-15,Nairobi,Maize,KG,Wholesale,KES,34.74
2019-06-15,Nairobi,Maize,KG,Wholesale,KES,26.85
2019-08-15,Nairobi,Maize,KG,Wholesale,KES,37.71
2019-09-15,Nairobi,Maize,KG,Wholesale,KES,36.45
2019-11-15,Nairobi,Maize,KG,Wholesale,KES,39.91
2020-01-15,Nairobi,Maize,KG,Wholesale,KES,36.85
2020-02-15,Nairobi,Maize,KG,Wholesale,KES,36.64
2020-04-15,Nairobi,Maize,KG,Wholesale,KES,34.66
2020-07-15,Nairobi,Maize,KG,Wholesale,KES,31.96
2020-08-15,Nairobi,Maize,KG,Wholesale,KES,32.91
2020-11-15,Nairobi,Maize,KG,Wholesale,KES,33.77
2021-01-15,Nairobi,Maize,KG,Wholesale,KES,35.05
2021-04-15,Nairobi,Maize,KG,Wholesale,KES,33.59
2021-05-15,Nairobi,Maize,KG,Wholesale,KES,33.13
2021-06-15,Nairobi,Maize,KG,Wholesale,KES,32.83
2021-07-15,Nairobi,Maize,KG,Wholesale,KES,34.0
2021-08-15,Nairobi,Maize,KG,Wholesale,KES,34.0
2021-09-15,Nairobi,Maize,KG,Wholesale,KES,33.81
2021-10-15,Nairobi,Maize,KG,Wholesale,KES,32.23
2022-02-15,Nairobi,Maize,KG,Wholesale,KES,40.04
2022-03-15,Nairobi,Maize,KG,Wholesale,KES,25.03
